number,text
footnote 183,"They are calledOnagri;but the number is too inconſiderable for mere wild-aſſes. Cuper (de Elephantis Exercitat. ii. 7.) has proved from Oppian, Dion, and an anonymous Greek, that zebras had been ſeen at Rome. They were brought from ſome iſland of the ocean, perhaps Madagaſcar."
footnote 184,"Carinus gave an hippopotamus (ſee Calphurn. Eclog. vii. 66.). In the latter ſpectacles, I do not recollect any crocodiles, of which Auguſtus once exhibited thirty-ſix.—Dion Caſſius, l. lv. p. 781."
footnote 185,"Capitolin. in Hiſt. Auguſt. p. 164, 165. We are not acquainted with the animals whom he callsarcheleontes,ſome readargoleontes,othersagrioleontes:both corrections are very nugatory."
footnote 186,Plin. Hiſt. Natur. viii. 6. from the annals of Piſo.
footnote 187,"See Maffei, Verona Illuſtrata, p. iv. l. i. c. 2."
footnote 188,"Maffei, l. ii. c. 2. The height was very much exaggerated by the ancients. It reached almoſt to the heavens, according to Calphurnius (Eclog. vii. 23.), and ſurpaſſed the ken of human ſight, according to Ammianus Marcellinus (xvi. 10.). Yet how trifling to the great pyramid of Egypt, which riſes 500 feet perpendicular!"
footnote 189,"According to different copies of Victor, we read 77,000, or 87,000 ſpectators; but Maffei (l. ii. c. 12.) finds room on the open ſents for no more than 34,000. The remainder were contained in the upper covered galleries."
footnote 190,"See Maffei, l. ii. c. 5—12. He treats the very difficult ſubject with all poſſible clearneſs, and like an architect, as well as an antiquarian."
footnote 191,"Calphurn. Eclog. vii. 64. 73. Theſe lines are curious, and the whole Eclogue has been of infinite uſe to Maffei. Calphurnius, as well as Martial (ſee his firſt book), was a poet; but when they deſcribed the amphitheatre, they both wrote from their own ſenſes, and to thoſe of the Romans."
footnote 192,Conſult. Plin. Hiſt. Natur. xxxiii. 16. xxxvii. 11.
footnote 193,"Balteus en gemmis, en in lita porticus auro. Certatim radiant, &c. Calphurn. vii."
footnote 194,"Et Martis vultus et Apollinis eſſe putavi, ſays Calphurnius; but John Malela, who had perhaps ſeen pictures of Carinus, deſcribes him as thick, ſhort, and white, tom. i. p. 403."
footnote 195,"With regard to the time when theſe Roman games were celebrated, Scaliger, Salmaſius, and Cuper, have given themſelves a great deal of trouble to perplex a very clear ſubject."
footnote 196,Nemeſianus (in the Cynegeticons) ſeems to anticipate in his fancy that auſpicious day.
footnote 197,"He won all the crowns from Nemeſianus, with whom he vied in didactic poetry. The ſenate eracted a ſtatue to the ſon of Carus, with a very ambiguous inſcription,To the moſt powerful of orators.See Vopiſcus in Hiſt. Auguſt. p. 251."
footnote 198,"A more natural cauſe, at leaſt, than that aſſigned by Vopiſcus (Hiſt. Auguſt. p. 251.), inceſſantly weeping for his father's death."
footnote 199,"In the Perſian war, Aper was ſuſpected of a deſign to betray Carus. Hiſt. Auguſt. p. 250."
footnote 200,"We are obliged to the Alexandrian Chronicle, p. 274, for the knowledge of the time and place where Diocletian was elected emperor."
footnote 201,"Hiſt. Auguſt. p. 251. Eutrop. ix. 88. Hieronym. in Chron. According to theſejudiciouswriters, the death of Numerian was diſcovered by the ſtench of his dead body. Could no aromatics be found in the Imperial houſehold?"
footnote 202,"Aurel. Victor. Eutropius, ix. 20. Hieronym. in Chron."
footnote 203,"Vopiſcus in Hiſt. Auguſt. p. 252. The reaſon why Diocletian killedAper(a wild boar), was founded on a prophecy and a pun, as fooliſh as they are well known."
footnote 204,"Eutropius marks its ſituation very accurately; it was between the Mons Aureus and Viminiacum. M. d'Anville (Geographie Ancienne, tom. i. p. 304.) places Margus at Kaſtolatz in Servia, a little below Belgrade and Semendria."
footnote 205,"Hiſt. Auguſt. p. 254. Eutropius, ix. 20. Aurelius Victor. Victor in Epitome."
footnote 206,"Eutrop. ix. 19. Victor in Epitom. The town ſeems to have been properly called Doclia, from a ſmall tribe of Illyrians (ſee Cellarius, Geograph. Antiqua, tom. i. p. 393.); and the original name of the fortunate ſlave was probably Docles; he firſt lengthened it to the Grecian harmony of Diocles, and at length to the Roman majeſty of Diocletianus. He likewiſe aſſumed the Patrician name of Valerius, and it is uſually given him by Aurelius Victor."
footnote 207,"See Dacier on the ſixth ſatire of the ſecond book of Horace. Cornel. Nepos, in Vit. Eumen. c. 1."
footnote 208,"Lactantius (or whoever was the author of the little treatiſe De Mortibus Perſecutorum) accuſes Diocletian oftimidityin two places, c. 7, 8. In chap. 9, he ſays of him, ""erat in omni tumultu meticuloſus et animi disjectus."""
footnote 209,"In this encomium, Aurelius Victor ſeems to convey a juſt, though indirect, cenſure of the cruelty of Conſtantius. It appears from the Faſti, that Ariſtobulus remained praefect of the city, and that he ended with Diocletian, the conſulſhip which he had commenced with Carinus."
footnote 210,"Aurelius Victor ſtyles Diocletian, ""Parentem potius quam Dominum."" See Hiſt. Auguſt. p. 30."
footnote 211,"The queſtion of the time when Maximian received the honours of Caeſar and Auguſtus has divided modern critics, and given occaſion to a great deal of learned wrangling. I have followed M. de Tillemont (Hiſtoire des Empereurs, tom, iv. p. 500—505.), who has weighed the ſeveral reaſons and difficulties with his ſcrupulous accuracy."
footnote 212,"In an oration delivered before him (Panegyr. Vet. ii. 8.), Mamertinus expreſſes a doubt whether his hero, in imitating the conduct of Hannibal and Scipio, had ever heard of their names. From thence we may fairly infer, that Maximian was more deſirous of being conſidered as a ſoldier than as a man of letters: and it is in this manner that we can often tranſlate the language of flattery into that of truth."
footnote 213,"Lactantius de M. P. c. 8. Aurelius Victor. As among the Panegyrics, we find orations pronounced in praiſe of Maximian, and others which flatter his adverſaries at his expence, we derive ſome knowledge from the contraſt."
footnote 214,"See the ſecond and third Panegyrics, particularly iii. 3. 10. 14. but it would be tedious to copy the diffuſe and affected expreſſions of their falſe eloquence. With regard to the titles, conſult Aurel. Victor, Lactantius de M. P. c. 52. Spanheim de Uſu Numiſinatum, &c. Diſſertat. xii. 8."
footnote 215,Aurelius Victor. Victor in Epitome. Eutrop. ix. 22. Lactant. de M. P. c. 8. Hieronym. in Chron.
footnote 216,"It is only among the modern Greeks that Tillemont can diſcover his appellation of Chlorus. Any remarkable degree of paleneſs ſeems inconſiſtent with therubormentioned in Panegyric, v. 19."
footnote 217,"Julian, the grandſon of Conſtantius, boaſts that his family was derived from the warlike Maeſians. Miſopogon, p. 348. The Dardanians dwelt on the edge of Maeſia."
footnote 218,"Galerius married Valeria, the daughter of Diocletian; if we ſpeak with ſtrictneſs, Theodora, the wife of Conſtantius, was daughter only to the wife of Maximian. Spanheim Diſſertat. xi. 2."
footnote 219,"This diviſion agrees with that of the four praefectures; yet there is ſome reaſon to doubt whether Spain was not a province of Maximian. See Tillemont, tom. iv. p. 517."
footnote 220,"Julian in Caeſarib. p. 315. Spanheim's notes to the French tranſlation, p. 122."
footnote 221,"The general name ofBagaudae(in the ſignification of Rebels) continued till the fifth century in Gaul. Some critics derive it from a Celtic wordBagad,a tumultuous aſſembly. Scaliger ad Euſeb. Du Cange Gloſſar."
footnote 222,"Chronique de Froiſſart, vol. i. c. 182. ii. 73—79. Thenaivetéof his ſtory is loſt in our beſt modern writers."
footnote 223,"Caeſar de Bell. Gallic. vi. 13. Orgetorix, the Helvetian, could arm for his defence a body of ten thouſand ſlaves."
footnote 224,"Their oppreſſion and miſery are acknowledged by Eumenius (Panegyr. vi. 8.), Gallias efferatus injuriis."
footnote 225,Panegyr. Vet. ii. 4. Aurelius Victor.
footnote 226,Aelianus and Amandus. We have medals coined by them. Goltzius in Theſ. R. A. p. 117. 121.
footnote 227,Levibus proeliis domuit. Eutrop. ix. 20.
footnote 228,"The fact reſts indeed on very ſlight authority, a life of St. Babolinus, which is probably of the ſeventh century. See Ducheſne Scriptores Rer. Francicar. tom. i. p. 662."
footnote 229,"Aurelius Victor calls them Germans. Eutropius (ix. 21.) gives them the name of Saxons. But Eutropius lived in the enſuing century, and ſeems to uſe the language of his own times."
footnote 230,"The three expreſſions of Eutropius, Aurelius Victor, and Eumenius, ""viliſſime natus,"" ""Bataviae alumnus,"" and ""Menapiae civis,"" give us a very doubtful account of the birth of Carauſius. Dr. Stukely, however, (Hiſt. of Carauſius, p. 62.) chuſes to make him a native of St. David's, and a prince of the blood royal of Britain. The former idea he had found in Richard of Cirenceſter, p. 44."
footnote 231,"Panegyr. v. 12. Britain at this time was ſecure, and ſlightly guarded."
footnote 232,"Panegyr. Vet. v. 11. vii. 9. The orator Eumenius wiſhed to exalt the glory of the hero (Conſtantius), with the importance of the conqueſt. Notwithſtanding our laudable partiality for our native country, it is difficult to conceive, that, in the beginning of the fourth century, England deſervedalltheſe commendations. A century and half before, it hardly paid its own eſtabliſhment. See Appian in Proaem."
footnote 233,"As a great number of medals of Carauſius are ſtill preſerved, he is become a very favourite object of antiquarian curioſity, and every circumſtance of his life and actions has been inveſtigated with ſagacious accuracy. Dr. Stukely in particular has devoted a large volume to the Britiſh emperor. I have uſed his materials, and rejected moſt of his fanciful conjectures."
footnote 234,"When Mamertinus pronounced his firſt panegyric, the naval preparations of Maximian were completed; and the orator preſaged an aſſured victory. His ſilence in the ſecond Panegyric, might alone inform us, that the expedition had not ſucceeded."
footnote 235,"Aurelius Victor, Eutropius, and the medals (Pax Auggg.) inform us of this temporary reconciliation: though I will not preſume (as Dr. Stukely has done, Medallic Hiſtory of Carauſius, p. 86, &c.) to inſert the identical articles of the treaty."
footnote 236,"With regard to the recovery of Britain, we obtain a few hints from Aurelius Victor and Eutropius."
footnote 237,"John Malela, in Chron. Antiochen, tom. i. p. 408, 409."
footnote 238,"Zoſim. l. i. p. 3. That partial hiſtorian ſeems to celebrate the vigilance of Diocletian, with a deſign of expoſing the negligence of Conſtantine; we may, however, liſten to an orator, ""Nam quid ego alarum et cohortium caſtra percenſeam, toto Rheni et Iſtri et Euphratis limite reſtituta."" Panegyr. Vet. iv. 18."
footnote 239,"Ruunt omnes in ſanguinem ſuum populi, quibus non contigit eſſe Romanis, obſtinataeque feritatis poenas nunc ſponte perſolvunt. Panegyr. Vet. iii. 16. Mamertinus illuſtrates the fact, by the example of almoſt all the nations of the world."
footnote 240,"He complained, though not with the ſtricteſt truth; ""Jam fluxiſſe annos quindecim in quibus, in Illyrico, ad ripam Danubii relegatus cum gentibus barbaris luctaret."" Lactant. de M. P. c. 18."
footnote 241,"In the Greek text of Euſebius, we read ſix thouſand, a number which I have preferred to the ſixty thouſand of Jerome, Oroſius, Eutropius, and his Greek tranſlator Paeanius."
footnote 242,Panegyr. Vet. vii. 21.
footnote 243,"There was a ſettlement of the Sarmatians in the neighbourhood of Treves, which ſeems to have been deſerted by thoſe lazy Barbarians: Auſonius ſpeaks of them in his Moſelle.Unde iter ingrediens nemoroſa per avia ſolum,Et nulla humani ſpectans veſtigia cultus—Arvaque Sauromatûm nuper metata colonis.There was a town of the Carpi in the Lower Maeſia."
footnote 244,See the rhetorical exultation of Eumenius. Panegyr. vii. 9.
footnote 245,"Scaliger (Animadverſ, ad Euſeb. p. 243.) decides in his uſual manner, that the Quinque gentiani, or five African nations, were the five great cities, the Pentapolis of the inoffenſive province of Cyrene."
footnote 246,"After his defeat, Julian ſtabbed himſelf with a dagger, and immediately leaped into the flames. Victor in Epitome."
footnote 247,"Tu ferociſſimos Mauritaniae populos inacceſſis montium jugis et naturali munitione fidentes, expugnaſti, recipiſti, tranſtuliſti. Panegyr. Vet. vi. 8."
footnote 248,"See the deſcription of Alexandria, in Hirtius de Bel. Alexandrin. c. 5."
footnote 249,"Eutrop. ix. 24. Oroſius, vii. 25. John Malela in Chron. Antioch. p. 409, 410. Yet Eumenius aſſures us, that Egypt was pacified by the clemency of Diocletian."
footnote 250,"Euſebius (in Chron.) places their deſtruction ſeveral years ſooner, and at a time when Egypt itſelf was in a ſtate of rebellion againſt the Romans."
footnote 251,"Strabo, l. xvii. p. 1. 172. Pomponius Mela, l. i. c. 4. His words are curious, ""Intra, ſi credere libet, vix homines magiſque ſemiferi; Aegipanes, etBlemmyes,et Satyri."""
footnote 252,Auſus ſeſe inſerere fortunae et provocare arma Romana.
footnote 253,See Procopius de Bell. Perſic. l. i. c. 19.
footnote 254,"He fixed the public allowance of corn for the people of Alexandria, at two millions ofmedimni;about four hundred thouſand quarters. Chron. Paſchal. p. 276. Procop. Hiſt. Arcan. c. 26."
footnote 255,John Antioch in Excerp. Valeſian. p. 834. Suidas in Diocletian.
footnote 256,"See a ſhort hiſtory and confutation of Alchymy, in the works of that philoſophical compiler, La Mothe le Vayer, tom. i. p. 327-353."
